#EXTM3U x-tvg-url="https://live.fanmingming.com/e.xml" catchup="append" catchup-source="?playseek=${(b)yyyyMMddHHmmss}-${(e)yyyyMMddHHmmss}"
央视,#genre#
CCTV-1 综合,http://117.135.56.6:6060/cms001/ch00000090990000001022/index.m3u8
CCTV-2 财经,http://117.135.56.6:6060/cms001/ch00000090990000001220/index.m3u8
CCTV-3 综艺,http://117.135.56.6:6060/cms001/ch00000090990000001186/index.m3u8
CCTV-4 中文国际,http://117.135.56.6:6060/cms001/ch00000090990000001221/index.m3u8
CCTV-5 体育,http://117.135.56.6:6060/cms001/ch00000090990000001187/index.m3u8
CCTV-6 电影,http://117.135.56.6:6060/cms001/ch00000090990000001188/index.m3u8
CCTV-7 国防军事,http://117.135.56.6:6060/cms001/ch00000090990000001236/index.m3u8
CCTV-8 电视剧,http://117.135.56.6:6060/cms001/ch00000090990000001189/index.m3u8
CCTV-9 纪录,http://117.135.56.6:6060/cms001/ch00000090990000001237/index.m3u8
CCTV-10 科教,http://117.135.56.6:6060/cms001/ch00000090990000001238/index.m3u8
CCTV-11 戏曲,http://117.135.56.6:6060/cms001/ch00000090990000001309/index.m3u8
CCTV-12 社会与法,http://117.135.56.6:6060/cms001/ch00000090990000001239/index.m3u8
CCTV-13 新闻,http://117.135.56.6:6060/cms001/ch00000090990000001328/index.m3u8
CCTV-14 少儿,http://117.135.56.6:6060/cms001/ch00000090990000001240/index.m3u8
CCTV-15 音乐,http://117.135.56.6:6060/cms001/ch00000090990000001338/index.m3u8
CCTV-16 奥林匹克,http://117.135.56.6:6060/cms001/ch00000090990000001248/index.m3u8
CCTV-16-4K 奥林匹克,http://117.135.56.6:6060/cms001/ch00000090990000001258/index.m3u8
CCTV-17 农业农村,http://117.135.56.6:6060/cms001/ch00000090990000001241/index.m3u8
卫视,#genre#
东方卫视,http://117.135.56.6:6060/cms001/ch00000090990000001013/index.m3u8
江苏卫视,http://117.135.56.6:6060/cms001/ch00000090990000001033/index.m3u8
浙江卫视,http://117.135.56.6:6060/cms001/ch00000090990000001023/index.m3u8
北京卫视,http://117.135.56.6:6060/cms001/ch00000090990000001029/index.m3u8
湖南卫视,http://117.135.56.6:6060/cms001/ch00000090990000001026/index.m3u8
安徽卫视,http://117.135.56.6:6060/cms001/ch00000090990000001037/index.m3u8
山东卫视,http://117.135.56.6:6060/cms001/ch00000090990000001028/index.m3u8
黑龙江卫视,http://117.135.56.6:6060/cms001/ch00000090990000001031/index.m3u8
天津卫视,http://117.135.56.6:6060/cms001/ch00000090990000001036/index.m3u8
江西卫视,http://117.135.56.6:6060/cms001/ch00000090990000001034/index.m3u8
辽宁卫视,http://117.135.56.6:6060/cms001/ch00000090990000001035/index.m3u8
湖北卫视,http://117.135.56.6:6060/cms001/ch00000090990000001027/index.m3u8
广东卫视,http://117.135.56.6:6060/cms001/ch00000090990000001032/index.m3u8
深圳卫视,http://117.135.56.6:6060/cms001/ch00000090990000001030/index.m3u8
东南卫视,http://117.135.56.6:6060/cms001/ch00000090990000001201/index.m3u8
四川卫视,http://117.135.56.6:6060/cms001/ch00000090990000001130/index.m3u8
重庆卫视,http://117.135.56.6:6060/cms001/ch00000090990000001129/index.m3u8
贵州卫视,http://117.135.56.6:6060/cms001/ch00000090990000001184/index.m3u8
海南卫视,http://117.135.56.6:6060/cms001/ch00000090990000001183/index.m3u8
河北卫视,http://117.135.56.6:6060/cms001/ch00000090990000001229/index.m3u8
内蒙古卫视,http://117.135.56.6:6060/cms001/ch00000090990000001068/index.m3u8
河南卫视,http://117.135.56.6:6060/cms001/ch00000090990000001222/index.m3u8
山西卫视,http://117.135.56.6:6060/cms001/ch00000090990000001070/index.m3u8
陕西卫视,http://117.135.56.6:6060/cms001/ch00000090990000001067/index.m3u8
甘肃卫视,http://117.135.56.6:6060/cms001/ch00000090990000001298/index.m3u8
青海卫视,http://117.135.56.6:6060/cms001/ch00000090990000001082/index.m3u8
云南卫视,http://117.135.56.6:6060/cms001/ch00000090990000001223/index.m3u8
广西卫视,http://117.135.56.6:6060/cms001/ch00000090990000001224/index.m3u8
宁夏卫视,http://117.135.56.6:6060/cms001/ch00000090990000001074/index.m3u8
新疆卫视,http://117.135.56.6:6060/cms001/ch00000090990000001065/index.m3u8
西藏卫视,http://117.135.56.6:6060/cms001/ch00000090990000001072/index.m3u8
吉林卫视,http://117.135.56.6:6060/cms001/ch00000090990000001225/index.m3u8
兵团卫视,http://117.135.56.6:6060/cms001/ch00000090990000001066/index.m3u8
三沙卫视,http://117.135.56.6:6060/cms001/ch00000090990000001185/index.m3u8
上海,#genre#
上海新闻,http://117.135.56.6:6060/cms001/ch00000090990000001014/index.m3u8
东方卫视,http://117.135.56.6:6060/cms001/ch00000090990000001013/index.m3u8
五星体育,http://117.135.56.6:6060/cms001/ch00000090990000001018/index.m3u8
上海都市,http://117.135.56.6:6060/cms001/ch00000090990000001015/index.m3u8
东方影视,http://117.135.56.6:6060/cms001/ch00000090990000001016/index.m3u8
第一财经,http://117.135.56.6:6060/cms001/ch00000090990000001017/index.m3u8
东方财经,http://117.135.56.6:6060/cms001/ch00000090990000001318/index.m3u8
生活时尚,http://117.135.56.6:6060/cms001/ch00000090990000001199/index.m3u8
都市剧场,http://117.135.56.6:6060/cms001/ch00000090990000001203/index.m3u8
欢笑剧场,http://117.135.56.6:6060/cms001/ch00000090990000001193/index.m3u8
金色学堂,http://117.135.56.6:6060/cms001/ch00000090990000001194/index.m3u8
法治天地,http://117.135.56.6:6060/cms001/ch00000090990000001195/index.m3u8
动漫秀场,http://117.135.56.6:6060/cms001/ch00000090990000001196/index.m3u8
游戏风云,http://117.135.56.6:6060/cms001/ch00000090990000001192/index.m3u8
乐游,http://117.135.56.6:6060/cms001/ch00000090990000001200/index.m3u8
财富天下,http://117.135.56.6:6060/cms001/ch00000090990000001219/index.m3u8
金鹰纪实,http://117.135.56.6:6060/cms001/ch00000090990000001230/index.m3u8
东方购物-1,http://117.135.56.6:6060/cms001/ch00000090990000001039/index.m3u8
东方购物-2,http://117.135.56.6:6060/cms001/ch00000090990000001040/index.m3u8
